gene_name,log2FoldChange,pvalue,log pvalue
SAUSA300_RS10160,-1.326958038,3.52E-23,22.45286784
SAUSA300_RS03570,-1.323152998,3.07E-11,10.51265885
SAUSA300_RS13905,-1.32065002,2.24E-13,12.64895038
rsbW,-1.320596747,2.16E-20,19.66587382
SAUSA300_RS09375,-1.32030017,3.89E-13,12.40983423
asp1,-1.319870751,6.70E-11,10.17415015
splF,-1.317118941,8.38E-09,8.077003639
SAUSA300_RS13230,-1.311370498,1.14E-17,16.94318003
SAUSA300_RS03565,-1.309125535,4.21E-13,12.37557992
SAUSA300_RS13235,-1.306088341,4.43E-17,16.35353593
SAUSA300_RS03035,-1.30379217,6.45E-14,13.19077207
yut,-1.299719641,0.000890944,3.05014983
-,-1.299525191,0.000667856,3.175317417
pepF,-1.299324682,6.13E-10,9.212713504
metK,-1.298548351,1.55E-18,17.80889972
SAUSA300_RS14180,-1.298406206,1.47E-05,4.832827043
mvaD,-1.298044475,1.11E-17,16.95407052
SAUSA300_RS04085,-1.292945338,8.17E-30,29.08779113
lpl6,-1.286521254,0.031417963,1.50282198
SAUSA300_RS14085,-1.286439114,5.20E-18,17.28358284
SAUSA300_RS02095,-1.286028427,0.000873159,3.058906642
queF,-1.28517264,2.46E-06,5.609925656
rho,-1.284126805,1.88E-20,19.72513924
ald,-1.281948411,1.22E-09,8.912311293
lpl2,-1.28145113,0.008475637,2.071827637
mutL,-1.272205657,2.48E-17,16.60629382
SAUSA300_RS09380,-1.270445147,2.60E-05,4.585102591
dprA,-1.268891994,0.009403138,2.0267272
SAUSA300_RS09030,-1.26649192,1.29E-05,4.888563008
SAUSA300_RS10430,-1.266179699,7.41E-16,15.13015012
sarT,-1.264975331,0.016646021,1.778689557
SAUSA300_RS06675,-1.259310311,2.73E-10,9.563923335
SAUSA300_RS01110,-1.258037532,5.98E-06,5.222939969
mnhG1,-1.251766152,1.70E-16,15.77077045
SAUSA300_RS06385,-1.250564338,4.57E-14,13.34001077
SAUSA300_RS11550,-1.250154728,1.81E-10,9.74256577
glpK,-1.249898885,3.99E-20,19.3994274
SAUSA300_RS06730,-1.24594865,0.00036634,3.436115583
SAUSA300_RS01645,-1.244281336,5.15E-08,7.288473479
typA,-1.240570076,2.15E-28,27.66839976
leuS,-1.238925692,3.75E-15,14.42558474
SAUSA300_RS09310,-1.229098147,1.22E-19,18.91482178
emp,-1.228478668,0.000142816,3.845223431
SAUSA300_RS12330,-1.227318039,7.66E-07,6.115763026
scdA,-1.225166214,2.74E-09,8.561960387
SAUSA300_RS12200,-1.216123163,0.000452227,3.344643123
sspC,-1.215831502,1.36E-08,7.865162087
-,-1.212597477,0.001449604,2.838750641
SAUSA300_RS14670,-1.205811174,0.002380712,2.623293205
SAUSA300_RS04570,-1.204079219,2.48E-10,9.605347817
-,-1.203940818,5.42E-07,6.266192076
SAUSA300_RS05740,-1.200605988,0.007914559,2.101573282
SAUSA300_RS11610,-1.19773797,9.82E-06,5.008029998
crcB,-1.195086543,0.006022589,2.220216778
-,-1.194385373,0.001255513,2.901178942
mnhD1,-1.192715249,4.13E-13,12.38393837
rplU,-1.191223761,8.94E-18,17.0488693
prli42,-1.1904531,0.004206064,2.3761241
SAUSA300_RS09430,-1.185751739,0.000937148,3.028191984
lpl1,-1.1849747,0.012332904,1.908934645
mnhE1,-1.183988398,5.04E-10,9.297357617
SAUSA300_RS05305,-1.183584613,6.20E-16,15.2074184
SAUSA300_RS02685,-1.182717863,0.019183423,1.717073906
-,-1.182443508,0.002538361,2.595446607
SAUSA300_RS05150,-1.181348423,2.55E-17,16.59343969
purH,-1.180654117,1.80E-18,17.74443913
SAUSA300_RS12830,-1.17994707,0.003756896,2.425170793
SAUSA300_RS00525,-1.173537455,0.000598299,3.223081591
SAUSA300_RS15810,-1.172356392,0.001589035,2.798866495
SAUSA300_RS03835,-1.171489445,1.89E-09,8.723672506
SAUSA300_RS04675,-1.171026848,1.74E-09,8.759639838
SAUSA300_RS12705,-1.168882823,4.31E-08,7.365614011
SAUSA300_RS06740,-1.164664152,2.90E-10,9.536986628
SAUSA300_RS13625,-1.163568708,3.78E-13,12.42307619
adcA,-1.158835161,1.70E-11,10.77065087
SAUSA300_RS10145,-1.156283468,5.63E-07,6.249572789
SAUSA300_RS05375,-1.155987775,2.65E-09,8.576500519
SAUSA300_RS03130,-1.154989062,4.46E-08,7.350405087
SAUSA300_RS04195,-1.154303326,2.31E-08,7.635748048
SAUSA300_RS04945,-1.152691176,3.58E-07,6.446572874
SAUSA300_RS10005,-1.152518607,0.001018236,2.992151494
SAUSA300_RS11170,-1.151308075,1.36E-17,16.86630449
SAUSA300_RS03825,-1.15040461,4.07E-07,6.389964844
SAUSA300_RS13455,-1.14706007,0.000682456,3.165925177
SAUSA300_RS09830,-1.145886042,7.35E-15,14.13351783
SAUSA300_RS14010,-1.145728244,1.75E-08,7.756575946
SAUSA300_RS03695,-1.145059574,3.35E-13,12.47434894
SAUSA300_RS00575,-1.14482598,3.03E-20,19.51804378
SAUSA300_RS11580,-1.144372707,4.80E-08,7.319140165
SAUSA300_RS09285,-1.14052133,3.40E-21,20.46883073
mraY,-1.139539528,5.25E-08,7.279830543
SAUSA300_RS15260,-1.139368959,0.001028659,2.987728506
SAUSA300_RS10165,-1.13884558,3.56E-06,5.4491552
SAUSA300_RS09580,-1.137373392,0.000291963,3.534672538
arcA,-1.135162066,1.35E-08,7.870384784
